Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem B-01,-1,Skipped,2
Basic Problem B-02,-1,Skipped,5
Basic Problem B-03,-1,Skipped,1
Basic Problem B-04,-1,Skipped,3
Basic Problem B-05,-1,Skipped,4
Basic Problem B-06,-1,Skipped,5
Basic Problem B-07,-1,Skipped,6
Basic Problem B-08,-1,Skipped,6
Basic Problem B-09,-1,Skipped,5
Basic Problem B-10,-1,Skipped,3
Basic Problem B-11,-1,Skipped,1
Basic Problem B-12,-1,Skipped,1
Basic Problem C-01,3,Correct,3
Basic Problem C-02,4,Correct,4
Basic Problem C-03,4,Correct,4
Basic Problem C-04,8,Correct,8
Basic Problem C-05,3,Correct,3
Basic Problem C-06,7,Correct,7
Basic Problem C-07,3,Incorrect,2
Basic Problem C-08,2,Incorrect,5
Basic Problem C-09,2,Correct,2
Basic Problem C-10,7,Correct,7
Basic Problem C-11,4,Correct,4
Basic Problem C-12,8,Correct,8
Basic Problem D-01,2,Incorrect,3
Basic Problem D-02,5,Incorrect,1
Basic Problem D-03,1,Incorrect,3
Basic Problem D-04,3,Incorrect,1
Basic Problem D-05,3,Incorrect,7
Basic Problem D-06,2,Incorrect,1
Basic Problem D-07,4,Incorrect,1
Basic Problem D-08,4,Correct,4
Basic Problem D-09,6,Incorrect,3
Basic Problem D-10,2,Incorrect,1
Basic Problem D-11,1,Incorrect,3
Basic Problem D-12,1,Incorrect,3
Basic Problem E-01,7,Incorrect,1
Basic Problem E-02,7,Correct,7
Basic Problem E-03,2,Correct,2
Basic Problem E-04,4,Incorrect,8
Basic Problem E-05,4,Incorrect,5
Basic Problem E-06,5,Incorrect,8
Basic Problem E-07,6,Incorrect,3
Basic Problem E-08,2,Incorrect,1
Basic Problem E-09,4,Incorrect,7
Basic Problem E-10,8,Correct,8
Basic Problem E-11,5,Correct,5
Basic Problem E-12,7,Incorrect,6
Challenge Problem B-01,-1,Skipped,6
Challenge Problem B-02,-1,Skipped,1
Challenge Problem B-03,-1,Skipped,3
Challenge Problem B-04,-1,Skipped,4
Challenge Problem B-05,-1,Skipped,6
Challenge Problem B-06,-1,Skipped,3
Challenge Problem B-07,-1,Skipped,6
Challenge Problem B-08,-1,Skipped,4
Challenge Problem B-09,-1,Skipped,4
Challenge Problem B-10,-1,Skipped,4
Challenge Problem B-11,-1,Skipped,5
Challenge Problem B-12,-1,Skipped,1
Challenge Problem C-01,5,Incorrect,7
Challenge Problem C-02,7,Correct,7
Challenge Problem C-03,7,Incorrect,3
Challenge Problem C-04,6,Incorrect,8
Challenge Problem C-05,2,Incorrect,4
Challenge Problem C-06,6,Incorrect,7
Challenge Problem C-07,7,Incorrect,3
Challenge Problem C-08,5,Incorrect,1
Challenge Problem C-09,8,Incorrect,7
Challenge Problem C-10,7,Incorrect,3
Challenge Problem C-11,4,Correct,4
Challenge Problem C-12,6,Incorrect,2
Challenge Problem D-01,2,Correct,2
Challenge Problem D-02,6,Incorrect,1
Challenge Problem D-03,8,Incorrect,1
Challenge Problem D-04,5,Incorrect,6
Challenge Problem D-05,6,Incorrect,2
Challenge Problem D-06,2,Incorrect,6
Challenge Problem D-07,1,Incorrect,4
Challenge Problem D-08,8,Incorrect,1
Challenge Problem D-09,5,Incorrect,7
Challenge Problem D-10,4,Incorrect,5
Challenge Problem D-11,4,Incorrect,5
Challenge Problem D-12,5,Incorrect,6
Challenge Problem E-01,1,Incorrect,6
Challenge Problem E-02,8,Incorrect,7
Challenge Problem E-03,1,Incorrect,5
Challenge Problem E-04,2,Incorrect,5
Challenge Problem E-05,7,Incorrect,6
Challenge Problem E-06,5,Incorrect,7
Challenge Problem E-07,4,Incorrect,5
Challenge Problem E-08,5,Incorrect,7
Challenge Problem E-09,5,Incorrect,1
Challenge Problem E-10,2,Incorrect,1
Challenge Problem E-11,3,Correct,3
Challenge Problem E-12,5,Correct,5
